17, hf_05_095_01, hf_05_095_2, hf_05_097_01, hf_05_097_2, hf_05_0985_01, hf_05_0985_2, hf_06_095_01, hf_06_095_2, hf_06_097_01, hf_06_097_2, hf_06_0985_01, hf_06_0985_2, hf_07_095_01, hf_07_095_2, hf_07_097_01, hf_07_097_2, hf_07_0985_01, hf_07_0985_2
Instance_0, 23440.945659, 23491.612728, 23461.370802, 23461.370802, 23440.945659, 23486.182212, 23478.850033, 23454.676928, 23440.945659, 23440.945659, 23440.945659, 23512.772980, 23497.057284, 23440.945659, 23501.836785, 23440.945659, 23440.945659, 23489.242517
Instance_1, 23278.189679, 23269.373277, 23322.518319, 23304.620591, 23346.270602, 23268.784081, 23285.124787, 23306.921363, 23259.426709, 23251.748159, 23251.748159, 23328.709263, 23278.127777, 23290.339297, 23273.235107, 23260.951245, 23269.575750, 23294.822112
Instance_2, 23391.543064, 23391.193695, 23469.198205, 23454.431277, 23475.240303, 23441.471753, 23405.917927, 23456.108171, 23391.085052, 23432.110078, 23416.763703, 23398.270682, 23395.506548, 23461.630616, 23444.259526, 23408.882870, 23410.667792, 23428.170845
Instance_3, 23110.874553, 23055.225363, 23224.052737, 23080.219160, 23065.641950, 23050.114976, 23066.746658, 23054.050750, 23050.114976, 23054.050750, 23055.591874, 23066.170796, 23058.533658, 23065.051079, 23132.408074, 23046.757454, 23063.590648, 23046.757454
Instance_4, 22947.929283, 22910.218293, 22895.866490, 22935.612701, 22897.238555, 22915.540888, 22889.155913, 22894.730817, 22919.725692, 22929.709921, 22885.521138, 22899.867149, 22894.269927, 22926.584692, 22911.973221, 22891.435905, 22892.474167, 22896.366714
Instance_5, 22864.509746, 22847.142928, 22874.459637, 22931.502791, 22852.022699, 22882.014137, 22863.203291, 22851.422233, 22863.203291, 22860.654630, 22855.459736, 22861.618032, 22867.254414, 22887.575418, 22866.698962, 22851.836678, 22872.690326, 22859.840605
Instance_6, 23087.816854, 23087.816854, 23102.604988, 23087.816854, 23087.816854, 23087.816854, 23091.469708, 23087.816854, 23087.816854, 23087.816854, 23104.126998, 23091.469708, 23087.816854, 23087.816854, 23102.604988, 23091.469708, 23089.859279, 23087.816854
Instance_7, 23295.906660, 23280.263996, 23297.581475, 23355.537429, 23285.061379, 23271.836884, 23321.407494, 23333.682749, 23346.417604, 23322.054593, 23321.355085, 23282.049311, 23333.200717, 23282.424611, 23325.289913, 23320.332705, 23287.898071, 23270.051318
Instance_8, 23114.712964, 23115.414383, 23178.172097, 23181.128142, 23134.741565, 23105.969801, 23109.182307, 23107.665938, 23105.969801, 23107.182970, 23134.691926, 23107.665938, 23123.097983, 23111.404643, 23129.428152, 23105.969801, 23137.417372, 23160.906136
Instance_9, 22992.834907, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22974.012324, 22980.308536, 22994.328267
