10, vns_1, vns_2, vns_3, vns_4, vns_5, vns_6, vns_7, vns_8, vns_9, vns_incr
Instance_0, 24627.922972, 24336.064832, 24332.432182, 24647.890346, 24608.126963, 24609.834150, 24398.984307, 24603.646215, 24739.605264, 24633.185490
Instance_1, 24252.820210, 24320.582835, 24014.507339, 24320.772087, 24219.873868, 24198.968086, 24295.428289, 24260.733273, 24294.377017, 24122.443339
Instance_2, 24467.817360, 24475.616756, 24212.036027, 24346.568075, 24516.262044, 24524.012035, 24527.297468, 24558.069312, 24578.295117, 24309.026845
Instance_3, 24075.036760, 23919.408576, 23952.097839, 23966.241880, 24060.276063, 24071.561711, 24067.687393, 24127.996755, 24144.000701, 24086.297117
Instance_4, 24043.617538, 23890.762714, 23900.521255, 23598.846200, 23834.669331, 23829.538951, 23831.022029, 23810.069971, 23842.534011, 23860.090987
Instance_5, 23945.366608, 23880.811417, 23917.508094, 23813.979141, 23732.412429, 23898.775557, 23930.332639, 23914.984975, 23906.567999, 23912.549305
Instance_6, 24016.819963, 24031.558825, 23988.734569, 24074.672917, 24102.552507, 24075.879550, 24139.567406, 24350.014591, 24233.718176, 24174.414598
Instance_7, 24348.052405, 24089.869240, 24140.691769, 24414.390991, 24302.652073, 24305.422862, 24203.169459, 24433.037895, 24363.936995, 24219.014206
Instance_8, 24005.475278, 23996.045820, 23939.441308, 24122.417854, 24021.591762, 24162.142618, 23993.672677, 24048.620148, 24122.235513, 23985.241912
Instance_9, 24120.081138, 23901.882443, 24026.495876, 23937.039367, 23964.510760, 24037.518474, 24044.706166, 24031.014198, 24277.056768, 24167.943430
